Language String		L1	L2	L3	L4	L5	L6	
A A A			No	No	No	No	No	No	
ABAB!@#			No	No	No	No	No	No	
ababab			Yes	No	No	Yes	No	No	
aaaBBB			Yes	Yes	No	Yes	No	No	
JAVA!!!			No	No	No	No	No	No	
CDCDCD			No	No	No	No	No	Yes	
   			No	No	No	No	No	No	
:)			No	No	No	No	No	No	
			Yes	Yes	Yes	Yes	No	No	
ABBCBBAD		No	No	No	No	No	No	
AABBCBBAA		No	No	No	No	Yes	No	
ABCBADAABCBAA		No	No	No	No	No	Yes	
AAABBB			Yes	Yes	No	Yes	No	No	
AB			Yes	Yes	No	Yes	No	No	
			Yes	Yes	Yes	Yes	No	No	
AABBBB			No	No	Yes	Yes	No	No	
ABBABBABB		No	No	No	Yes	No	No	
A			No	No	No	Yes	No	No	
B			No	No	No	Yes	No	No	
BBBBBB			No	No	No	Yes	No	No	
AAAAA			No	No	No	Yes	No	No	
ABABABA			No	No	No	No	No	No	
ABAB			Yes	No	No	Yes	No	No	
BBAA			Yes	No	No	No	No	No	
BBBAA			No	No	No	No	No	No	
AAB			No	No	No	Yes	No	No	
AABBCCD			No	No	No	No	No	No	
ABCBA			No	No	No	No	Yes	No	
ABBBA			No	No	No	No	No	No	
ABBA			Yes	No	No	No	No	No	
ABAABBAAABBB		Yes	No	No	No	No	No	
AABACABAA		No	No	No	No	Yes	No	
AABBBAABBB		No	No	No	Yes	No	No	
ABBCBBA			No	No	No	No	Yes	No	
ABBCABB			No	No	No	No	No	No	
!)@($!)@		No	No	No	No	No	No	
ABRACADABRA		No	No	No	No	No	No	
ABCBADABBCBBA		No	No	No	No	No	Yes	
aabbaabb		Yes	No	No	Yes	No	No	
12345			No	No	No	No	No	No	
ABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABAB		Yes	No	No	Yes	No	No	
